"organization","name","full_name","description","url","homepage","language","stars","forks","created_at","updated_at","topics","has_commits"
"natverse","neuprintr","natverse/neuprintr","R client utilities for interacting with the neuPrint connectome analysis service","https://github.com/natverse/neuprintr","http://natverse.org/neuprintr","R",5,3,"2019-03-19T11:22:52Z","2025-10-30T15:31:05Z","connectomics, neuroanatomy-toolbox, neuroscience, r",TRUE
"natverse","neuromorphr","natverse/neuromorphr","R client utilities for interacting with the neuromorpho.org repository","https://github.com/natverse/neuromorphr","https://natverse.github.io/neuromorphr","R",1,1,"2019-04-29T19:01:03Z","2023-04-17T18:17:29Z","",TRUE
"natverse","natverse","natverse/natverse","Umbrella package to help install/load nat packages","https://github.com/natverse/natverse","https://natverse.github.io","R",11,0,"2019-07-26T14:07:48Z","2025-07-31T22:41:03Z","",TRUE
"natverse","natverse_hugo","natverse/natverse_hugo",NA,"https://github.com/natverse/natverse_hugo","https://natverse.github.io/packages/","CSS",0,2,"2019-07-26T16:24:12Z","2021-01-28T01:27:20Z","",TRUE
"natverse","insectbrainr","natverse/insectbrainr","R client utilities for interacting with the InsectBrainDB.org","https://github.com/natverse/insectbrainr","https://natverse.github.io/insectbrainr/","R",0,0,"2019-08-02T21:47:33Z","2023-04-17T18:17:13Z","",TRUE
"natverse","fishatlas","natverse/fishatlas","R client utilities for interacting with the MPI Fish Brain Atlas project","https://github.com/natverse/fishatlas","https://natverse.github.io/fishatlas/","R",2,0,"2019-08-04T21:51:35Z","2022-02-13T08:08:36Z","",TRUE
"natverse","hemibrainr","natverse/hemibrainr","Code for working with data from Janelia FlyEM's hemibrain project","https://github.com/natverse/hemibrainr","https://natverse.github.io/hemibrainr/","R",8,4,"2020-02-05T02:02:42Z","2025-10-30T15:28:14Z","",TRUE
"natverse","neuronbridger","natverse/neuronbridger","R client utilities for interacting with the neuronbridge matching service","https://github.com/natverse/neuronbridger","http://natverse.org/neuronbridger/","ImageJ Macro",1,3,"2020-11-10T19:04:53Z","2025-06-08T23:54:43Z","",TRUE
"natverse","influencer","natverse/influencer","An R package for calculating indirect connectivity scores ","https://github.com/natverse/influencer",NA,"R",1,0,"2025-08-07T15:53:39Z","2025-10-17T19:12:59Z","",TRUE
"natverse","nat.ggplot","natverse/nat.ggplot","Helper package for publication-quality 2D neuroanatomy renderings using ggplot2","https://github.com/natverse/nat.ggplot","http://natverse.org/nat.ggplot/","R",3,0,"2025-09-26T20:51:03Z","2025-10-03T17:08:45Z","",TRUE
"wilson-lab","panels-matlab","wilson-lab/panels-matlab","Matlab code to interface with the Reiser Panels system","https://github.com/wilson-lab/panels-matlab",NA,"MATLAB",1,4,"2017-06-20T19:44:03Z","2021-12-13T22:56:19Z","",TRUE
"wilson-lab","design-files","wilson-lab/design-files","Public design files from Rachel Wilson's lab at Harvard Medical School.","https://github.com/wilson-lab/design-files","http://wilson.med.harvard.edu/",NA,6,1,"2017-06-23T04:01:41Z","2023-01-13T15:22:42Z","",TRUE
"wilson-lab","nat-tech","wilson-lab/nat-tech","co-visualise confocal images of fly brains and connectome reconstructions in FIJI","https://github.com/wilson-lab/nat-tech","","Jupyter Notebook",3,0,"2022-01-21T19:28:29Z","2025-08-17T05:46:24Z","connectomics, natverse, neuroscience",TRUE
"htem","BANC-project","htem/BANC-project",NA,"https://github.com/htem/BANC-project",NA,"Jupyter Notebook",4,0,"2025-07-31T01:37:26Z","2025-10-29T09:34:57Z","",TRUE
"flyconnectome","hemibrain_olf_data","flyconnectome/hemibrain_olf_data","Summary data on identified FIB hemibrain neurons including olfactory PNs","https://github.com/flyconnectome/hemibrain_olf_data","","R",2,0,"2019-07-01T09:32:40Z","2025-04-28T17:35:19Z","",TRUE
"flyconnectome","2020hemibrain_examples","flyconnectome/2020hemibrain_examples","Code examples for Schlegel, Bates et al. (2020)","https://github.com/flyconnectome/2020hemibrain_examples",NA,NA,4,4,"2020-11-30T14:03:49Z","2024-10-14T19:16:06Z","",TRUE
"flyconnectome","bancr","flyconnectome/bancr","An R package for querying data in the BANC dataset","https://github.com/flyconnectome/bancr","https://flyconnectome.github.io/bancr/","R",4,1,"2024-07-02T17:10:15Z","2025-11-06T23:54:15Z","",TRUE
"flyconnectome","crantr","flyconnectome/crantr","R Client Access to Clonal Raider ANT (CRANT) Datasets","https://github.com/flyconnectome/crantr","https://flyconnectome.github.io/crantr/","R",1,0,"2024-10-24T23:01:24Z","2025-10-03T00:52:20Z","",TRUE
